Clause,Term,Opinion,Category,Category Score,Polarity,Polarity Score,Original Sentence
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"unfriendly staff, broken Wi-Fi, and poor maintenance of facilities"
poor maintenance of facilities,facilities,poor,Amenity,0.7245293259620667,Negative,0.9998,"unfriendly staff, broken Wi-Fi, and poor maintenance of facilities"
disorganized breakfast,breakfast,disorganized,Amenity,0.3820013403892517,Negative,0.9992,"disorganized breakfast, broken air conditioning, and noisy neighbors"
broken air conditioning,air conditioning,broken,Facility,0.8538247346878052,Negative,0.9997,"disorganized breakfast, broken air conditioning, and noisy neighbors"
noisy neighbors,neighbors,noisy,Facility,0.84688401222229,Negative,0.9985,"disorganized breakfast, broken air conditioning, and noisy neighbors"
inefficient front desk service,service,"inefficient, uncomfortable",Facility,0.7931051850318909,Negative,0.9843,"inefficient front desk service, uncomfortable beds, and broken gym equipment"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"inefficient front desk service, uncomfortable beds, and broken gym equipment"
broken gym equipment,equipment,broken,Facility,0.8648511171340942,Negative,0.9997,"inefficient front desk service, uncomfortable beds, and broken gym equipment"
poor meal options,meal,poor,Amenity,0.851027250289917,Negative,0.9997,"poor meal options, broken mobile app, and dirty pool area"
broken mobile app,app,broken,Facility,0.5952084064483643,Negative,0.9995,"poor meal options, broken mobile app, and dirty pool area"
dirty pool area,pool,dirty,Amenity,0.7811670303344727,Negative,0.998,"poor meal options, broken mobile app, and dirty pool area"
slow reservation system,,"slow, noisy",Facility,0.6234534978866577,Negative,0.9977,"slow reservation system, noisy air conditioning, and unclean rooms"
noisy air conditioning,,unclean,Facility,0.8313579559326172,Negative,0.9994,"slow reservation system, noisy air conditioning, and unclean rooms"
unclean rooms,rooms,,Facility,0.897172212600708,Negative,0.9998,"slow reservation system, noisy air conditioning, and unclean rooms"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"broken Wi-Fi, unhelpful staff, and uncomfortable beds"
unhelpful staff,staff,unhelpful,Loyalty,0.4640321433544159,Negative,0.9749,"broken Wi-Fi, unhelpful staff, and uncomfortable beds"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"broken Wi-Fi, unhelpful staff, and uncomfortable beds"
disorganized breakfast service,breakfast service,disorganized,Facility,0.7441354393959045,Negative,0.9994,"disorganized breakfast service, broken gym equipment, and dirty fitness center"
broken gym equipment,gym equipment,broken,Facility,0.8648511171340942,Negative,0.9997,"disorganized breakfast service, broken gym equipment, and dirty fitness center"
dirty fitness center,fitness center,dirty,Facility,0.7761760354042053,Negative,0.9851,"disorganized breakfast service, broken gym equipment, and dirty fitness center"
unresponsive maintenance team,maintenance,unresponsive,Facility,0.85495924949646,Negative,0.9987,"unresponsive maintenance team, noisy neighbors, and poor breakfast options"
noisy neighbors,neighbors,noisy,Facility,0.8468819856643677,Negative,0.9985,"unresponsive maintenance team, noisy neighbors, and poor breakfast options"
poor breakfast options,breakfast,poor,Facility,0.6124855279922485,Negative,0.9998,"unresponsive maintenance team, noisy neighbors, and poor breakfast options"
inefficient reservation process,reservation process,inefficient,Branding,0.4575136601924896,Negative,0.985,"inefficient reservation process, uncomfortable lounge chairs, and broken air conditioning"
uncomfortable lounge chairs,lounge chairs,uncomfortable,Amenity,0.44538071751594543,Negative,0.9966,"inefficient reservation process, uncomfortable lounge chairs, and broken air conditioning"
broken air conditioning,air conditioning,broken,Facility,0.8538248538970947,Negative,0.9997,"inefficient reservation process, uncomfortable lounge chairs, and broken air conditioning"
dirty breakfast area,,"dirty, broken",Facility,0.7421483397483826,Negative,0.9988,"dirty breakfast area, broken mobile app, and inefficient front desk"
broken mobile app,,"dirty, broken",Facility,0.5952119827270508,Negative,0.9995,"dirty breakfast area, broken mobile app, and inefficient front desk"
inefficient front desk,,inefficient,Facility,0.5744727849960327,Negative,0.9822,"dirty breakfast area, broken mobile app, and inefficient front desk"
uncomfortable room temperature,room,uncomfortable,Amenity,0.6110122799873352,Negative,0.9991,"uncomfortable room temperature, broken Wi-Fi, and noisy hallways"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"uncomfortable room temperature, broken Wi-Fi, and noisy hallways"
noisy hallways,hallways,noisy,Facility,0.8210734724998474,Negative,0.9996,"uncomfortable room temperature, broken Wi-Fi, and noisy hallways"
disorganized breakfast,breakfast,disorganized,Amenity,0.38200074434280396,Negative,0.9992,"disorganized breakfast, slow check-in, and unclean rooms"
slow check-in,check-in,slow,Service,0.5123065114021301,Negative,0.9912,"disorganized breakfast, slow check-in, and unclean rooms"
unclean rooms,rooms,unclean,Facility,0.8971731066703796,Negative,0.9998,"disorganized breakfast, slow check-in, and unclean rooms"
broken mobile app,mobile app,"broken, unclean",Facility,0.5952119827270508,Negative,0.9995,"broken mobile app, unclean fitness center, and uncomfortable beds"
unclean fitness center,fitness center,unclean,Amenity,0.8199144601821899,Negative,0.9996,"broken mobile app, unclean fitness center, and uncomfortable beds"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"broken mobile app, unclean fitness center, and uncomfortable beds"
unfriendly staff,staff,unfriendly,Amenity,0.5615448355674744,Negative,0.9848,"unfriendly staff, broken gym equipment, and noisy air conditioning"
broken gym equipment,gym equipment,broken,Facility,0.8648504018783569,Negative,0.9997,"unfriendly staff, broken gym equipment, and noisy air conditioning"
noisy air conditioning,air conditioning,noisy,Facility,0.8313579559326172,Negative,0.9994,"unfriendly staff, broken gym equipment, and noisy air conditioning"
slow check-in,check-in,slow,Service,0.5123065114021301,Negative,0.9912,"slow check-in, broken Wi-Fi, and dirty pool area"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"slow check-in, broken Wi-Fi, and dirty pool area"
dirty pool area,,dirty,Amenity,0.7811679244041443,Negative,0.998,"slow check-in, broken Wi-Fi, and dirty pool area"
inefficient reservation system,reservation system,inefficient,Branding,0.5462207794189453,Negative,0.989,"inefficient reservation system, uncomfortable lounge chairs, and poor breakfast"
uncomfortable lounge chairs,lounge chairs,uncomfortable,Amenity,0.44538071751594543,Negative,0.9966,"inefficient reservation system, uncomfortable lounge chairs, and poor breakfast"
poor breakfast,breakfast,poor,Facility,0.7437655329704285,Negative,0.9998,"inefficient reservation system, uncomfortable lounge chairs, and poor breakfast"
unresponsive staff,staff,unresponsive,Amenity,0.579882800579071,Negative,0.9969,"unresponsive staff, broken air conditioning, and unclean rooms"
broken air conditioning,air conditioning,broken,Facility,0.8538247346878052,Negative,0.9997,"unresponsive staff, broken air conditioning, and unclean rooms"
unclean rooms,rooms,unclean,Facility,0.897172212600708,Negative,0.9998,"unresponsive staff, broken air conditioning, and unclean rooms"
poor meal options,meal options,poor,Amenity,0.851027250289917,Negative,0.9997,"poor meal options, uncomfortable lounge chairs, and broken fitness center"
uncomfortable lounge chairs,lounge chairs,uncomfortable,Amenity,0.44537821412086487,Negative,0.9966,"poor meal options, uncomfortable lounge chairs, and broken fitness center"
broken fitness center,fitness center,broken,Amenity,0.5108208656311035,Negative,0.9974,"poor meal options, uncomfortable lounge chairs, and broken fitness center"
slow check-in,check-in,slow,Service,0.5123065114021301,Negative,0.9912,"slow check-in, unclean pool, and broken Wi-Fi"
unclean pool,pool,unclean,Amenity,0.5168121457099915,Negative,0.9998,"slow check-in, unclean pool, and broken Wi-Fi"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"slow check-in, unclean pool, and broken Wi-Fi"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"uncomfortable beds, inefficient reservation process, and dirty breakfast area"
inefficient reservation process,reservation,inefficient,Branding,0.4575136601924896,Negative,0.985,"uncomfortable beds, inefficient reservation process, and dirty breakfast area"
dirty breakfast area,,dirty,Facility,0.7421483397483826,Negative,0.9988,"uncomfortable beds, inefficient reservation process, and dirty breakfast area"
inefficient reservation management,reservation management,inefficient,Amenity,0.5321480631828308,Negative,0.986,"inefficient reservation management, broken fitness equipment, and uncomfortable lounge"
broken fitness equipment,fitness equipment,broken,Facility,0.854698896408081,Negative,0.9995,"inefficient reservation management, broken fitness equipment, and uncomfortable lounge"
uncomfortable lounge,lounge,uncomfortable,Facility,0.7295135855674744,Negative,0.9965,"inefficient reservation management, broken fitness equipment, and uncomfortable lounge"
poor breakfast quality,breakfast,,Branding,0.3605634570121765,Negative,0.9997,"poor breakfast quality, unresponsive security, and dirty fitness center"
unresponsive security,security,unresponsive,Facility,0.7283875942230225,Negative,0.9862,"poor breakfast quality, unresponsive security, and dirty fitness center"
dirty fitness center,,dirty,Facility,0.7761788964271545,Negative,0.9851,"poor breakfast quality, unresponsive security, and dirty fitness center"
slow mobile app,mobile app,slow,Facility,0.5775169134140015,Negative,0.9996,"slow mobile app, broken pool heater, and uncomfortable beds"
broken pool heater,pool heater,broken,Service,0.47961437702178955,Negative,0.9994,"slow mobile app, broken pool heater, and uncomfortable beds"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"slow mobile app, broken pool heater, and uncomfortable beds"
inefficient guest management,guest management,inefficient,Amenity,0.8325926065444946,Negative,0.9138,"inefficient guest management, dirty breakfast area, and broken air conditioning"
dirty breakfast area,breakfast area,dirty,Facility,0.7421483397483826,Negative,0.9988,"inefficient guest management, dirty breakfast area, and broken air conditioning"
broken air conditioning,air conditioning,broken,Facility,0.8538248538970947,Negative,0.9997,"inefficient guest management, dirty breakfast area, and broken air conditioning"
noisy neighbors,neighbors,noisy,Facility,0.84688401222229,Negative,0.9985,"noisy neighbors, broken reservation system, and unclean rooms"
broken reservation system,reservation system,broken,Facility,0.5616130828857422,Negative,0.9973,"noisy neighbors, broken reservation system, and unclean rooms"
unclean rooms,rooms,unclean,Facility,0.897172212600708,Negative,0.9998,"noisy neighbors, broken reservation system, and unclean rooms"
unfriendly staff,staff,unfriendly,Amenity,0.561548113822937,Negative,0.9848,"unfriendly staff, broken Wi-Fi, and unmaintained fitness center"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"unfriendly staff, broken Wi-Fi, and unmaintained fitness center"
unmaintained fitness center,fitness center,unmaintained,Facility,0.6428372263908386,Negative,0.8683,"unfriendly staff, broken Wi-Fi, and unmaintained fitness center"
disorganized breakfast service,breakfast service,"disorganized, uncomfortable",Facility,0.7441354393959045,Negative,0.9994,"disorganized breakfast service, uncomfortable beds, and slow check-in process"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"disorganized breakfast service, uncomfortable beds, and slow check-in process"
slow check-in process,check-in process,slow,Branding,0.3727894425392151,Negative,0.9987,"disorganized breakfast service, uncomfortable beds, and slow check-in process"
broken fitness equipment,equipment,broken,Facility,0.8546943664550781,Negative,0.9995,"broken fitness equipment, dirty pool area, and unresponsive staff"
dirty pool area,pool,dirty,Amenity,0.7811670303344727,Negative,0.998,"broken fitness equipment, dirty pool area, and unresponsive staff"
unresponsive staff,staff,unresponsive,Amenity,0.579882800579071,Negative,0.9969,"broken fitness equipment, dirty pool area, and unresponsive staff"
poor meal options,meal,poor,Amenity,0.851027250289917,Negative,0.9997,"poor meal options, broken mobile app, and uncomfortable lounge chairs"
broken mobile app,app,broken,Facility,0.5952084064483643,Negative,0.9995,"poor meal options, broken mobile app, and uncomfortable lounge chairs"
uncomfortable lounge chairs,chairs,uncomfortable,Amenity,0.44537821412086487,Negative,0.9966,"poor meal options, broken mobile app, and uncomfortable lounge chairs"
dirty breakfast area,,dirty,Facility,0.7421483397483826,Negative,0.9988,"dirty breakfast area, inefficient reservation system, and broken air conditioning"
inefficient reservation system,,inefficient,Branding,0.5462207794189453,Negative,0.989,"dirty breakfast area, inefficient reservation system, and broken air conditioning"
broken air conditioning,,broken,Facility,0.8538248538970947,Negative,0.9997,"dirty breakfast area, inefficient reservation system, and broken air conditioning"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"uncomfortable beds, noisy air conditioning, and broken Wi-Fi"
noisy air conditioning,air conditioning,noisy,Facility,0.8313585519790649,Negative,0.9994,"uncomfortable beds, noisy air conditioning, and broken Wi-Fi"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"uncomfortable beds, noisy air conditioning, and broken Wi-Fi"
unresponsive front desk,front desk,unresponsive,Facility,0.8674113154411316,Negative,0.9981,"unresponsive front desk, dirty pool, and uncomfortable beds"
dirty pool,pool,dirty,Experience,0.6557438373565674,Negative,0.9973,"unresponsive front desk, dirty pool, and uncomfortable beds"
uncomfortable beds,beds,uncomfortable,Facility,0.7697731852531433,Negative,0.9985,"unresponsive front desk, dirty pool, and uncomfortable beds"
broken mobile app,mobile app,broken,Facility,0.5952084064483643,Negative,0.9995,"broken mobile app, disorganized breakfast, and noisy hallways"
disorganized breakfast,breakfast,disorganized,Amenity,0.3820013403892517,Negative,0.9992,"broken mobile app, disorganized breakfast, and noisy hallways"
noisy hallways,hallways,noisy,Facility,0.8210727572441101,Negative,0.9996,"broken mobile app, disorganized breakfast, and noisy hallways"
unfriendly staff,staff,unfriendly,Amenity,0.561548113822937,Negative,0.9848,"unfriendly staff, broken gym equipment, and inefficient reservation system"
broken gym equipment,equipment,broken,Facility,0.8648511171340942,Negative,0.9997,"unfriendly staff, broken gym equipment, and inefficient reservation system"
inefficient reservation system,system,inefficient,Branding,0.5462207794189453,Negative,0.989,"unfriendly staff, broken gym equipment, and inefficient reservation system"
dirty breakfast area,,"dirty, noisy",Facility,0.7421518564224243,Negative,0.9988,"dirty breakfast area, noisy neighbors, and broken fitness center"
noisy neighbors,neighbors,noisy,Facility,0.84688401222229,Negative,0.9985,"dirty breakfast area, noisy neighbors, and broken fitness center"
broken fitness center,,broken,Amenity,0.5108208656311035,Negative,0.9974,"dirty breakfast area, noisy neighbors, and broken fitness center"
unavailable pool,pool,unavailable,Amenity,0.5112544894218445,Negative,0.9985,"unavailable pool, slow Wi-Fi, and broken security system"
slow Wi-Fi,Wi-Fi,slow,Facility,0.7680106163024902,Negative,0.9994,"unavailable pool, slow Wi-Fi, and broken security system"
broken security system,,broken,Facility,0.579226016998291,Negative,0.9993,"unavailable pool, slow Wi-Fi, and broken security system"
dirty pool area,,dirty,Amenity,0.7811679244041443,Negative,0.998,"dirty pool area, unresponsive security staff, and malfunctioning fitness center"
unresponsive security staff,staff,unresponsive,Amenity,0.7028549909591675,Negative,0.9969,"dirty pool area, unresponsive security staff, and malfunctioning fitness center"
malfunctioning fitness center,,malfunctioning,Amenity,0.4846929609775543,Negative,0.9995,"dirty pool area, unresponsive security staff, and malfunctioning fitness center"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"broken Wi-Fi, unclean pool, and outdated fitness center equipment"
unclean pool,pool,unclean,Amenity,0.5168121457099915,Negative,0.9998,"broken Wi-Fi, unclean pool, and outdated fitness center equipment"
outdated fitness center equipment,,outdated,Facility,0.8192634582519531,Negative,0.9997,"broken Wi-Fi, unclean pool, and outdated fitness center equipment"
inadequate pool security,,inadequate,Amenity,0.8592702746391296,Negative,0.9998,"inadequate pool security, unreliable Wi-Fi, and neglected fitness center"
unreliable Wi-Fi,Wi-Fi,unreliable,Service,0.5547148585319519,Negative,0.9994,"inadequate pool security, unreliable Wi-Fi, and neglected fitness center"
neglected fitness center,,neglected,Amenity,0.5594187378883362,Negative,0.9991,"inadequate pool security, unreliable Wi-Fi, and neglected fitness center"
poor Wi-Fi connectivity,Wi-Fi,poor,Facility,0.8271074295043945,Negative,0.9998,"poor Wi-Fi connectivity, dirty pool, and broken gym equipment"
dirty pool,pool,dirty,Experience,0.6557438373565674,Negative,0.9973,"poor Wi-Fi connectivity, dirty pool, and broken gym equipment"
broken gym equipment,"gym,equipment",broken,Facility,0.8648511171340942,Negative,0.9997,"poor Wi-Fi connectivity, dirty pool, and broken gym equipment"
unattentive pool staff,staff,unattentive,Facility,0.6985172629356384,Negative,0.9982,"unattentive pool staff, malfunctioning security cameras, and low-quality fitness center"
malfunctioning security cameras,staff,malfunctioning,Facility,0.5147112607955933,Negative,0.9998,"unattentive pool staff, malfunctioning security cameras, and low-quality fitness center"
low-quality fitness center,staff,low-quality,Amenity,0.7541021108627319,Negative,0.9992,"unattentive pool staff, malfunctioning security cameras, and low-quality fitness center"
broken pool heater,pool,,Service,0.47961437702178955,Negative,0.9994,"broken pool heater, slow Wi-Fi, and poorly maintained fitness center"
slow Wi-Fi,pool,,Facility,0.7680106163024902,Negative,0.9994,"broken pool heater, slow Wi-Fi, and poorly maintained fitness center"
poorly maintained fitness center,,,Facility,0.6059551239013672,Negative,0.9995,"broken pool heater, slow Wi-Fi, and poorly maintained fitness center"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"broken Wi-Fi, unclean pool area, and malfunctioning security systems"
unclean pool area,pool,unclean,Amenity,0.9025161862373352,Negative,0.9997,"broken Wi-Fi, unclean pool area, and malfunctioning security systems"
and malfunctioning security systems,security systems,malfunctioning,Amenity,0.8139536380767822,Negative,0.9998,"broken Wi-Fi, unclean pool area, and malfunctioning security systems"
unreliable pool heating,pool,unreliable,Facility,0.8158531188964844,Negative,0.9997,"unreliable pool heating, broken Wi-Fi, and outdated security measures"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"unreliable pool heating, broken Wi-Fi, and outdated security measures"
outdated security measures,security measures,outdated,Amenity,0.7353339791297913,Negative,0.9998,"unreliable pool heating, broken Wi-Fi, and outdated security measures"
dirty fitness center,fitness center,dirty,Facility,0.7761760354042053,Negative,0.9851,"dirty fitness center, broken pool area, and slow Wi-Fi"
broken pool area,pool area,broken,Amenity,0.7512609362602234,Negative,0.9995,"dirty fitness center, broken pool area, and slow Wi-Fi"
and slow Wi-Fi,Wi-Fi,slow,Facility,0.6341633796691895,Negative,0.999,"dirty fitness center, broken pool area, and slow Wi-Fi"
insecure pool area,,,Facility,0.7212115526199341,Negative,0.9983,"insecure pool area, malfunctioning fitness center, and broken Wi-Fi"
malfunctioning fitness center,,,Amenity,0.4846929609775543,Negative,0.9995,"insecure pool area, malfunctioning fitness center, and broken Wi-Fi"
broken Wi-Fi,Wi-Fi,,Facility,0.8944222331047058,Negative,0.9997,"insecure pool area, malfunctioning fitness center, and broken Wi-Fi"
noisy security alarms,security alarms,noisy,Facility,0.702238917350769,Negative,0.9996,"noisy security alarms, broken pool lights, and unreliable Wi-Fi"
broken pool lights,pool lights,broken,Amenity,0.49522626399993896,Negative,0.9998,"noisy security alarms, broken pool lights, and unreliable Wi-Fi"
unreliable Wi-Fi,Wi-Fi,unreliable,Service,0.5547148585319519,Negative,0.9994,"noisy security alarms, broken pool lights, and unreliable Wi-Fi"
unfriendly security staff,staff,unfriendly,Amenity,0.6887659430503845,Negative,0.9818,"unfriendly security staff, unclean pool, and outdated Wi-Fi"
unclean pool,pool,unclean,Amenity,0.5168121457099915,Negative,0.9998,"unfriendly security staff, unclean pool, and outdated Wi-Fi"
outdated Wi-Fi,Wi-Fi,outdated,Amenity,0.6808561682701111,Negative,0.9997,"unfriendly security staff, unclean pool, and outdated Wi-Fi"
unmaintained fitness center,fitness center,unmaintained,Facility,0.6428372263908386,Negative,0.8683,"unmaintained fitness center, broken Wi-Fi, and poorly secured pool area"
broken Wi-Fi,Wi-Fi,broken,Facility,0.8944222331047058,Negative,0.9997,"unmaintained fitness center, broken Wi-Fi, and poorly secured pool area"
poorly secured pool area,pool area,poorly secured,Facility,0.6921451091766357,Negative,0.9998,"unmaintained fitness center, broken Wi-Fi, and poorly secured pool area"
slow pool service,pool,,Amenity,0.7738300561904907,Negative,0.9995,"slow pool service, outdated fitness equipment, and broken Wi-Fi"
outdated fitness equipment,equipment,,Amenity,0.5500198006629944,Negative,0.9997,"slow pool service, outdated fitness equipment, and broken Wi-Fi"
broken Wi-Fi,Wi-Fi,,Facility,0.8944222331047058,Negative,0.9997,"slow pool service, outdated fitness equipment, and broken Wi-Fi"
dirty pool area,,"dirty, broken",Amenity,0.7811679244041443,Negative,0.998,"dirty pool area, broken fitness center equipment, and slow Wi-Fi"
broken fitness center equipment,,"dirty, broken",Amenity,0.8444782495498657,Negative,0.9991,"dirty pool area, broken fitness center equipment, and slow Wi-Fi"
slow Wi-Fi,Wi-Fi,slow,Facility,0.7680106163024902,Negative,0.9994,"dirty pool area, broken fitness center equipment, and slow Wi-Fi"
ineffective security system,security system,ineffective,Amenity,0.7121116518974304,Negative,0.9998,"ineffective security system, broken pool, and unreliable Wi-Fi"
